,date,value_og
253,2001-03-01,1.37
254,2001-04-01,1.44
255,2001-05-01,1.42
256,2001-06-01,1.43
257,2001-07-01,1.42
258,2001-08-01,1.42
259,2001-09-01,1.45
260,2001-10-01,1.39
261,2001-11-01,1.39
262,2001-12-01,1.39
263,2002-01-01,1.38
264,2002-02-01,1.38
265,2002-03-01,1.38
266,2002-04-01,1.35
267,2002-05-01,1.36
268,2002-06-01,1.36
269,2002-07-01,1.35
270,2002-08-01,1.34
271,2002-09-01,1.36
272,2002-10-01,1.36
273,2002-11-01,1.36
274,2002-12-01,1.37
275,2003-01-01,1.36
276,2003-02-01,1.38
277,2003-03-01,1.38
278,2003-04-01,1.4
279,2003-05-01,1.4
280,2003-06-01,1.38
281,2003-07-01,1.37
282,2003-08-01,1.36
283,2003-09-01,1.36
284,2003-10-01,1.35
285,2003-11-01,1.35
286,2003-12-01,1.34
287,2004-01-01,1.33
288,2004-02-01,1.33
289,2004-03-01,1.3
290,2004-04-01,1.3
291,2004-05-01,1.3
292,2004-06-01,1.31
293,2004-07-01,1.32
294,2004-08-01,1.31
295,2004-09-01,1.32
296,2004-10-01,1.3
297,2004-11-01,1.31
298,2004-12-01,1.3
299,2005-01-01,1.3
300,2005-02-01,1.31
301,2005-03-01,1.31
302,2005-04-01,1.3
303,2005-05-01,1.3
304,2005-06-01,1.29
305,2005-07-01,1.26
306,2005-08-01,1.26
307,2005-09-01,1.25
308,2005-10-01,1.25
309,2005-11-01,1.26
310,2005-12-01,1.25
311,2006-01-01,1.24
312,2006-02-01,1.26
313,2006-03-01,1.26
314,2006-04-01,1.26
315,2006-05-01,1.25
316,2006-06-01,1.26
317,2006-07-01,1.26
318,2006-08-01,1.26
319,2006-09-01,1.3
320,2006-10-01,1.31
321,2006-11-01,1.3
322,2006-12-01,1.28
323,2007-01-01,1.3
324,2007-02-01,1.29
325,2007-03-01,1.27
326,2007-04-01,1.27
327,2007-05-01,1.26
328,2007-06-01,1.27
329,2007-07-01,1.26
330,2007-08-01,1.27
331,2007-09-01,1.27
332,2007-10-01,1.26
333,2007-11-01,1.24
334,2007-12-01,1.26
335,2008-01-01,1.25
336,2008-02-01,1.28
337,2008-03-01,1.27
338,2008-04-01,1.25
339,2008-05-01,1.24
340,2008-06-01,1.23
341,2008-07-01,1.24
342,2008-08-01,1.27
343,2008-09-01,1.29
344,2008-10-01,1.34
345,2008-11-01,1.41
346,2008-12-01,1.44
347,2009-01-01,1.43
348,2009-02-01,1.43
349,2009-03-01,1.44
350,2009-04-01,1.43
351,2009-05-01,1.42
352,2009-06-01,1.38
353,2009-07-01,1.36
354,2009-08-01,1.33
355,2009-09-01,1.32
356,2009-10-01,1.3
357,2009-11-01,1.28
358,2009-12-01,1.26
359,2010-01-01,1.25
360,2010-02-01,1.27
361,2010-03-01,1.23
362,2010-04-01,1.23
363,2010-05-01,1.24
364,2010-06-01,1.26
365,2010-07-01,1.26
366,2010-08-01,1.27
367,2010-09-01,1.27
368,2010-10-01,1.27
369,2010-11-01,1.25
370,2010-12-01,1.25
371,2011-01-01,1.23
372,2011-02-01,1.24
373,2011-03-01,1.23
374,2011-04-01,1.26
375,2011-05-01,1.28
376,2011-06-01,1.28
377,2011-07-01,1.27
378,2011-08-01,1.28
379,2011-09-01,1.27
380,2011-10-01,1.27
381,2011-11-01,1.27
382,2011-12-01,1.26
383,2012-01-01,1.27
384,2012-02-01,1.28
385,2012-03-01,1.27
386,2012-04-01,1.26
387,2012-05-01,1.27
388,2012-06-01,1.29
389,2012-07-01,1.28
390,2012-08-01,1.28
391,2012-09-01,1.28
392,2012-10-01,1.29
393,2012-11-01,1.28
394,2012-12-01,1.27
395,2013-01-01,1.29
396,2013-02-01,1.28
397,2013-03-01,1.29
398,2013-04-01,1.31
399,2013-05-01,1.29
400,2013-06-01,1.29
401,2013-07-01,1.28
402,2013-08-01,1.29
403,2013-09-01,1.29
404,2013-10-01,1.29
405,2013-11-01,1.29
406,2013-12-01,1.3
407,2014-01-01,1.32
408,2014-02-01,1.31
409,2014-03-01,1.3
410,2014-04-01,1.29
411,2014-05-01,1.29
412,2014-06-01,1.29
413,2014-07-01,1.29
414,2014-08-01,1.29
415,2014-09-01,1.3
416,2014-10-01,1.3
417,2014-11-01,1.31
418,2014-12-01,1.33
419,2015-01-01,1.35
420,2015-02-01,1.36
421,2015-03-01,1.36
422,2015-04-01,1.36
423,2015-05-01,1.36
424,2015-06-01,1.37
425,2015-07-01,1.36
426,2015-08-01,1.37
427,2015-09-01,1.38
428,2015-10-01,1.38
429,2015-11-01,1.38
430,2015-12-01,1.39
431,2016-01-01,1.4
432,2016-02-01,1.41
433,2016-03-01,1.41
434,2016-04-01,1.4
435,2016-05-01,1.4
436,2016-06-01,1.39
437,2016-07-01,1.39
438,2016-08-01,1.39
439,2016-09-01,1.38
440,2016-10-01,1.37
441,2016-11-01,1.38
442,2016-12-01,1.35
443,2017-01-01,1.35
444,2017-02-01,1.35
445,2017-03-01,1.35
446,2017-04-01,1.37
447,2017-05-01,1.38
448,2017-06-01,1.38
449,2017-07-01,1.38
450,2017-08-01,1.38
451,2017-09-01,1.36
452,2017-10-01,1.35
453,2017-11-01,1.33
454,2017-12-01,1.33
455,2018-01-01,1.34
456,2018-02-01,1.35
457,2018-03-01,1.34
458,2018-04-01,1.35
459,2018-05-01,1.34
460,2018-06-01,1.33
461,2018-07-01,1.34
462,2018-08-01,1.34
463,2018-09-01,1.34
464,2018-10-01,1.35
465,2018-11-01,1.35
466,2018-12-01,1.38
467,2019-01-01,1.39
468,2019-02-01,1.39
469,2019-03-01,1.37
470,2019-04-01,1.39
471,2019-05-01,1.39
472,2019-06-01,1.39
473,2019-07-01,1.4
474,2019-08-01,1.4
475,2019-09-01,1.4
476,2019-10-01,1.4
477,2019-11-01,1.39
478,2019-12-01,1.4
479,2020-01-01,1.38
480,2020-02-01,1.37
481,2020-03-01,1.45
482,2020-04-01,1.67
483,2020-05-01,1.51
484,2020-06-01,1.37
485,2020-07-01,1.33
486,2020-08-01,1.32
487,2020-09-01,1.32
488,2020-10-01,1.31
489,2020-11-01,1.32
490,2020-12-01,1.32
491,2021-01-01,1.26
492,2021-02-01,1.3
493,2021-03-01,1.23
494,2021-04-01,1.25
495,2021-05-01,1.26
496,2021-06-01,1.25
497,2021-07-01,1.25
498,2021-08-01,1.26
499,2021-09-01,1.26
500,2021-10-01,1.24
501,2021-11-01,1.25
502,2021-12-01,1.29
503,2022-01-01,1.25
504,2022-02-01,1.26
505,2022-03-01,1.27
506,2022-04-01,1.29
507,2022-05-01,1.3
508,2022-06-01,1.3
509,2022-07-01,1.32
510,2022-08-01,1.33
511,2022-09-01,1.33
512,2022-10-01,1.33
513,2022-11-01,1.35
514,2022-12-01,1.37
515,2023-01-01,1.34
516,2023-02-01,1.36
517,2023-03-01,1.39
518,2023-04-01,1.4
519,2023-05-01,1.4
773,2023-06-01,
774,,
