symbol,name,currency,market,exchange,exchange timezone
^EGWESGT,,USD,us_market,SNP,EDT
^EQOP-IV,,USD,us_market,ASE,EDT
^EQOP-PV,,USD,us_market,ASE,EDT
^ESGST,,USD,us_market,WCB,EDT
^ESML-EU,,USD,us_market,ASE,EDT
^ESML-IV,,USD,us_market,ASE,EDT
^ESML-NV,,USD,us_market,ASE,EDT
^ESML-TC,,USD,us_market,ASE,EDT
^EVZ,CBOE Euro currency Volatility I,USD,us_market,WCB,EDT
^FCAL-EU,,USD,us_market,ASE,EDT
^FCAL-IV,,USD,us_market,ASE,EDT
^FCAL-NV,,USD,us_market,ASE,EDT
^FCAL-TC,,USD,us_market,ASE,EDT
^FCHI,CAC 40,EUR,fr_market,PAR,CEST
^FDHY-EU,,USD,us_market,ASE,EDT
^FDHY-IV,,USD,us_market,ASE,EDT
^FDHY-NV,,USD,us_market,ASE,EDT
^FDHY-TC,,USD,us_market,ASE,EDT
^FDSFTPR,FactSet Global FinTech PR Index,USD,us_market,NIM,EDT
^FDSFTPRJPY,GLOBAL FINTECH JAPAN HEDGED IND,JPY,us_market,NIM,EDT
^FDSFTTR,FactSet Global FinTech Total Re,USD,us_market,NIM,EDT
^FDSFTTRJPY,GLOBAL FINTECH JAPAN HEDGED IND,JPY,us_market,NIM,EDT
^FDSMBPR,FactSet Global Mobility Price R,USD,us_market,NIM,EDT
^FDSMBTR,FACTSET GLOBAL MOBILITY TOTAL R,USD,us_market,NIM,EDT
^FEBZ-IV,,USD,us_market,ASE,EDT
^FEDXP,,USD,us_market,SNP,EDT
^FGRO-EU,,USD,us_market,ASE,EDT
^FGRO-IV,,USD,us_market,ASE,EDT
^FGRO-NV,,USD,us_market,ASE,EDT
^FIBR-TC,,USD,us_market,ASE,EDT
^FIDCNCMP,,CAD,us_market,SNP,EDT
^FIDCNCVP,,CAD,us_market,SNP,EDT
^FIDCNIMP,,CAD,us_market,SNP,EDT
^FIDCNIVP,,CAD,us_market,SNP,EDT
^FIDCNMHP,,CAD,us_market,SNP,EDT
^FIDCNUMP,,CAD,us_market,SNP,EDT
^FIDCNUVP,,CAD,us_market,SNP,EDT
^FIDCNVHP,,CAD,us_market,SNP,EDT
^FIDI-EU,,USD,us_market,ASE,EDT
^FIDI-IV,,USD,us_market,ASE,EDT
^FIDINMFP,,USD,us_market,SNP,EDT
^FIDUSDFP,,USD,us_market,SNP,EDT
^FIDUSEFP,,USD,us_market,SNP,EDT
^FIDUSIFP,,USD,us_market,SNP,EDT
^FIDUSMFP,,USD,us_market,SNP,EDT
^FIGB-EU,,USD,us_market,ASE,EDT
^FIGB-IV,,USD,us_market,ASE,EDT
^FIGB-NV,,USD,us_market,ASE,EDT
^FIGB-TC,,USD,us_market,ASE,EDT
^FINX-EU,,USD,us_market,ASE,EDT
^FINX-IV,,USD,us_market,ASE,EDT
^FINX-NV,,USD,us_market,ASE,EDT
^FINX-TC,,USD,us_market,ASE,EDT
^FIVA-EU,,USD,us_market,ASE,EDT
^FIVA-IV,,USD,us_market,ASE,EDT
^FIVA-NV,,USD,us_market,ASE,EDT
^FIVA-TC,,USD,us_market,ASE,EDT
^FLBL-EU,,USD,us_market,ASE,EDT
^FLBL-IV,,USD,us_market,ASE,EDT
^FLBL-NV,,USD,us_market,ASE,EDT
^FLBL-TC,,USD,us_market,ASE,EDT
^FLHY-EU,,USD,us_market,ASE,EDT
^FLHY-IV,,USD,us_market,ASE,EDT
^FLHY-NV,,USD,us_market,ASE,EDT
